Unnamed: 0;GSDB_NO;B_P_RATIO;PRESSURE_RATIO;RATED_THRUST_KN_;HC_EI_T_O_G_KG_;HC_EI_C_O_G_KG_;HC_EI_APP_G_KG_;HC_EI_IDLE_G_KG_;HC_NUMBER_TEST;HC_NUMBER_ENG;HC_DP_FOO_AVG_G_KN_;HC_DP_FOO_SIGMA_G_KN_;HC_DP_FOO_MIN_G_KN_;HC_DP_FOO_MAX_G_KN_;HC_DP_FOO_CHARACTERISTIC_G_KN_;HC_DP_FOO_CHARACTERISTIC_OF_REG_LIMIT_;HC_LTO_TOTAL_MASS_G_;CO_EI_T_O_G_KG_;CO_EI_C_O_G_KG_;CO_EI_APP_G_KG_;CO_EI_IDLE_G_KG_;CO_NUMBER_TEST;CO_NUMBER_ENG;CO_DP_FOO_AVG_G_KN_;CO_DP_FOO_SIGMA_G_KN_;CO_DP_FOO_MIN_G_KN_;CO_DP_FOO_MAX_G_KN_;CO_DP_FOO_CHARACTERISTIC_G_KN_;CO_DP_FOO_CHARACTERISTIC_OF_REG_LIMIT_;CO_LTO_TOTAL_MASS_G_;NOX_EI_T_O_G_KG_;NOX_EI_C_O_G_KG_;NOX_EI_APP_G_KG_;NOX_EI_IDLE_G_KG_;NOX_NUMBER_TEST;NOX_NUMBER_ENG;NOX_DP_FOO_AVG_G_KN_;NOX_DP_FOO_SIGMA_G_KN_;NOX_DP_FOO_MIN_G_KN_;NOX_DP_FOO_MAX_G_KN_;NOX_DP_FOO_CHARACTERISTIC_G_KN_;NOX_DP_FOO_CHARACTERISTIC_OF_ORIGINAL_STANDARD_;NOX_DP_FOO_CHARACTERISTIC_OF_CAEP_2_STANDARD_;NOX_DP_FOO_CHARACTERISTIC_OF_CAEP_4_STANDARD_;NOX_DP_FOO_CHARACTERISTIC_OF_CAEP_6_STANDARD_;NOX_DP_FOO_CHARACTERISTIC_OF_CAEP_8_STANDARD_;NOX_LTO_TOTAL_MASS_G_;SN_T_O;SN_C_O;SN_APP;SN_IDLE;SN_NUMBER_TEST;SN_NUMBER_ENG;SN_MAX;SN_SIGMA;SN_RANGE_MIN;SN_RANGE_MAX;SN_CHARACTERISTIC;SN_CHARACTERISTIC_OF_REG_LIMIT_;FUEL_H_C_RATIO_MIN;FUEL_H_C_RATIO_MAX;FUEL_AROM_MIN_;FUEL_AROM_MAX_;FUEL_FLOW_T_O_KG_SEC_;FUEL_FLOW_C_O_KG_SEC_;FUEL_FLOW_APP_KG_SEC_;FUEL_FLOW_IDLE_KG_SEC_;FUEL_LTO_CYCLE_KG_;LOADS_POWER_EXTRACTION_KW_;AMBIENT_BARO_MIN_KPA_;AMBIENT_BARO_MAX_KPA_;AMBIENT_TEMP_MIN_K_;AMBIENT_TEMP_MAX_K_;HUMIDITY_MIN_KG_KG_;HUMIDITY_MAX_KG_KG_
min;0,0;0,0;-2,3175728371652253;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-2,5787634257343512;-2,556062093850501;0,0;0,0;-2,171985093441204;0,0;-2,123518618141986;0,0;-2,008686838027084;0,0;-2,270529834526722;-2,1864655448385095;-2,126546466489883;-2,0947233036193267;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-66,3694774029938;-72,56138877956883;-2,4689790887553893;-3,493600639476654;0,0;0,0;0,0;0,0;0,0;0,0;-2,53192918620699;-3,3758136059159365;-9,006604693895463;-2,69877479782117;0,0;0,0
max;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
median;-0,9999999999999981;0,0;0,0;0,0;-1,7219454603738424;-2,097097563733355;-1,7063567967911357;-1,7709986874868462;-1,000000000000014;-1,0;-1,5590354778557325;-1,3535466538483834;-1,4596291262593968;-1,3949571616306413;-1,5337827210044437;-1,5770588160226091;-1,7358734587575904;-2,914045116955654;-1,859466135470195;-0,928314954032835;0,0;-1,0;-1,0;-1,357721710601074;-0,3784846863878742;-1,4187978111887414;-1,321599548618374;-1,3553550284803495;-1,9815470666161874;-1,3780323268787367;0,0;0,0;0,0;0,03969841191372292;-1,0000000000000255;-1,0;0,0;-1,3802370424793233;0,0;-0,24242023090286277;0,0;0,0;0,0;0,0;0,0;0,0;-1,0803659369875158;-1,0000000000000036;-1,1149257040080613;-4,014604393442805;-6,30684502363866;0,0;-0,9999999999999972;0,0;0,0;-2,0453435358566816;0,0;0,0;-1,0000000000000158;1,3180665745742413;1,4149240694224792;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,01639169624845398;0,0;1,028234152550123;-3,6289177436012143;0,9999999999999996
std;-1,8656986890060805;-1,3544112688317733;0,0;-0,46306280629380375;1,0;1,0000000000000002;1,0;0,9999999999999996;1,000000000000014;-1,8464646237672446;1,0;1,0;1,0000000000000002;1,0;1,0000000000000002;0,9999999999999998;1,0;1,0000000000000013;1,0;1,0716850459671656;-1,052188399253521;0,9999999999999848;-1,8117412568766957;0,6422782893989254;1,6215153136121254;0,0;0,6784004513816265;0,64464497151965;0,0;0,0;-1,5464952889632788;-1,6824183308744889;0,0;0,0;1,0000000000000255;-1,9351658812090604;0,0;0,0;0,0;1,757579769097137;0,0;-2,8070767812649216;0,0;0,0;0,0;0,0;0,0;-2,718225021545348;-1,0;1,0;1,0000000000000029;-0,09012852266783433;-1,5569510678213547;-1,0109229733595078;-1,343904062742392;-1,0000000000000033;-1,0675755466386954;-1,5667835703728878;-27,752369852692567;0,0;0,0;0,0;0,0;-1,0350720659118644;-0,9680711243320409;-1,0267936778178788;-1,333750789359717;-0,960369502298466;0,0;0,0;0,0;0,0;0,0;-1,0;-0,9999999999999996
mean;0,9999999999999981;0,6455887311682262;0,06823620894351126;1,5369371937061957;-0,9999999999999998;-1,0000000000000002;-1,0000000000000002;-0,9999999999999998;57,60596226230096;1,0;-1,0000000000000002;-1,0;-1,0;-1,0;-1,0000000000000002;-0,9999999999999998;-1,0000000000000002;-0,9999999999999988;-1,0000000000000007;0,0;0,9478116007464791;62,97504971299294;0,999999999999997;0,0;0,0;0,5812021888112581;0,0;0,0;0,018452933383812625;0,6219676731212623;0,45350471103672146;0,4310282315988507;0,08286675768435407;0,0;104,14738177731411;0,9999999999999969;0,12044757794900313;0,6197629575206743;0,17728371733795192;0,0;0,14529978105506755;0,08173872494727889;0,08670841932952017;0,16315379197453653;0,22664644907028533;0,2589737132424427;0,9196340630124842;1,0;1,0000000000000022;-1,0;-1,0000000000000029;1,7460122699386504;1,0;0,9890770266404935;0,656095937257608;1,0000000000000033;0,9324244533613048;0,43321642962711226;1,0000000000000158;0,9999999999999915;1,0;0,051288257369973445;0,07495474967612688;0,9649279340881356;1,0319288756679594;0,9732063221821209;0,666249210640282;1,0396304977015336;0,0;0,2798872665494946;0,0;0,09392952446823512;1,0000000000000058;1,0;1,521747193650212
ceiling;15,301369863013663;3,8213748557219542;2,0885794233033863;9,501730630858276;8,537287046380998;13,543867608992768;14,268489363553055;13,240726863427884;0,0;54,33333333333333;11,619904802230439;2,3085699735642344;10,937275312243894;8,092093415054409;10,475110940170437;10,911461532217455;14,106891265587413;51,969526927326704;20,146114240554553;17,914669411568436;17,83774181811707;0,0;53,90456431535259;28,0862503953976;6,143542400328726;23,303741459442946;12,988657114821756;26,004367996079296;30,079561420032725;28,794489004247044;4,465272218969171;3,9257746828895974;2,5181804209875787;1,5569910857701745;0,0;55,96551724137925;2,732405841702144;58,45501784423603;2,7832062088403835;9,826388614152481;2,8562230909752766;3,3511793359354773;3,356435407561242;3,794714494178521;4,083786928686837;4,4944794247766096;13,330902873950176;61,78451606688555;35,23274704394169;26,107566815954087;77,10135876508375;0,0;49,215384615384515;23,263543731780494;33,5899433126541;59,12253174308717;23,311700338370514;18,585082388216463;180,19327617860836;0,0;0,0;2,1635383767444134;3,092549545659183;8,517239481079006;8,007192644811756;6,922099589822414;5,58013112970281;7,11762285216979;0,0;2,7364824125663456;2,295068736180619;1,6024486298718401;0,0;37,663762650318986;0,0
floor;0,0;-2,246475104110627;-1,9317637910564884;-3,2433421851547735;0,0;0,0;0,0;0,0;-55,72589607758179;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;-2,246959106739946;-3,8529240066813033;-35,15862382865687;0,0;-3,501560817654236;-0,856516456294591;-5,183192955769543;-3,140143795347006;-3,614392578050218;-5,83771533775688;-5,235955089630561;-1,739762279203215;-1,56897176840115;-1,917133242315646;-1,9603015880862764;-58,2962945616144;0,0;-1,8795524220509978;-12,260968650930822;-1,822716282662048;-0,36293981637068023;-1,854700218944932;-1,918261275052721;-1,9132915806704798;-1,836846208025464;-1,773353550929715;-1,7410262867575577;-3,7667711398894;0,0;0,0;0,0;0,0;0,0;0,0;-10,26294063147418;-10,375560267686458;0,0;-9,860697540091694;-8,959503903884967;0,0;-1,0;-1,0;-1,9487117426300267;-1,9250452503238706;-3,0063269684570355;-2,837369347776816;-2,56483074244593;-2,4932494962661647;-2,8168068940822426;0,0;-1,7201127334505149;-1,9836083037515564;-1,9060704755317697;-1,0;0,0;-2,8618991846701647
