;GSDB_NO;B_P_RATIO;PRESSURE_RATIO;RATED_THRUST_KN_;HC_EI_T_O_G_KG_;HC_EI_C_O_G_KG_;HC_EI_APP_G_KG_;HC_EI_IDLE_G_KG_;HC_NUMBER_TEST;HC_NUMBER_ENG;HC_DP_FOO_AVG_G_KN_;HC_DP_FOO_SIGMA_G_KN_;HC_DP_FOO_MIN_G_KN_;HC_DP_FOO_MAX_G_KN_;HC_DP_FOO_CHARACTERISTIC_G_KN_;HC_DP_FOO_CHARACTERISTIC_OF_REG_LIMIT_;HC_LTO_TOTAL_MASS_G_;CO_EI_T_O_G_KG_;CO_EI_C_O_G_KG_;CO_EI_APP_G_KG_;CO_EI_IDLE_G_KG_;CO_NUMBER_TEST;CO_NUMBER_ENG;CO_DP_FOO_AVG_G_KN_;CO_DP_FOO_SIGMA_G_KN_;CO_DP_FOO_MIN_G_KN_;CO_DP_FOO_MAX_G_KN_;CO_DP_FOO_CHARACTERISTIC_G_KN_;CO_DP_FOO_CHARACTERISTIC_OF_REG_LIMIT_;CO_LTO_TOTAL_MASS_G_;NOX_EI_T_O_G_KG_;NOX_EI_C_O_G_KG_;NOX_EI_APP_G_KG_;NOX_EI_IDLE_G_KG_;NOX_NUMBER_TEST;NOX_NUMBER_ENG;NOX_DP_FOO_AVG_G_KN_;NOX_DP_FOO_SIGMA_G_KN_;NOX_DP_FOO_MIN_G_KN_;NOX_DP_FOO_MAX_G_KN_;NOX_DP_FOO_CHARACTERISTIC_G_KN_;NOX_DP_FOO_CHARACTERISTIC_OF_ORIGINAL_STANDARD_;NOX_DP_FOO_CHARACTERISTIC_OF_CAEP_2_STANDARD_;NOX_DP_FOO_CHARACTERISTIC_OF_CAEP_4_STANDARD_;NOX_DP_FOO_CHARACTERISTIC_OF_CAEP_6_STANDARD_;NOX_DP_FOO_CHARACTERISTIC_OF_CAEP_8_STANDARD_;NOX_LTO_TOTAL_MASS_G_;SN_T_O;SN_C_O;SN_APP;SN_IDLE;SN_NUMBER_TEST;SN_NUMBER_ENG;SN_MAX;SN_SIGMA;SN_RANGE_MIN;SN_RANGE_MAX;SN_CHARACTERISTIC;SN_CHARACTERISTIC_OF_REG_LIMIT_;FUEL_H_C_RATIO_MIN;FUEL_H_C_RATIO_MAX;FUEL_AROM_MIN_;FUEL_AROM_MAX_;FUEL_FLOW_T_O_KG_SEC_;FUEL_FLOW_C_O_KG_SEC_;FUEL_FLOW_APP_KG_SEC_;FUEL_FLOW_IDLE_KG_SEC_;FUEL_LTO_CYCLE_KG_;LOADS_POWER_EXTRACTION_KW_;AMBIENT_BARO_MIN_KPA_;AMBIENT_BARO_MAX_KPA_;AMBIENT_TEMP_MIN_K_;AMBIENT_TEMP_MAX_K_;HUMIDITY_MIN_KG_KG_;HUMIDITY_MAX_KG_KG_
422;11;4.44;21.85;69.21;0.03;0.04;0.06;1.05;5.0;2.0;2.4;1.3648235897417043;4.747518382352942;7.306158088235294;3.1;15.82;167.0;0.26;0.36;5.07;29.36;5.0;2.0;69.0;3.397460708166665;38.92056776556776;45.70531135531135;78.6;66.61;4776.0;16.37;13.89;7.1;3.73;5.0;2.0;38.9;1.2938656402811686;46.40532967032968;94.39452380952382;42.8;51.14;63.92;73.67;79.7;91.9;2695.0;12.6;11.7;0.1;0.1;5.0;2.0;12.6;1.587896299501851;6.078492509363296;9.03756554307116;14.8;56.49;1.924;1.924;16.7;17.5;0.791;0.653;0.228;0.097;326.0;0.0;100.43;101.26;289.2;302.5;0.00619;0.01331
423;11;4.38;22.8;72.67;0.02;0.04;0.06;0.82;5.0;2.0;1.9;1.3648235897417043;4.747518382352942;7.306158088235294;2.42;12.35;136.0;0.3;0.3;4.67;27.55;5.0;2.0;63.2;3.397460708166665;38.92056776556776;45.70531135531135;72.0;61.02;4591.0;17.36;14.52;7.28;3.82;5.0;2.0;40.6;1.2938656402811686;46.40532967032968;94.39452380952382;44.6;52.1;65.13;76.76;82.59;95.8;2947.0;12.6;12.1;0.1;0.1;5.0;2.0;12.6;1.587896299501851;6.078492509363296;9.03756554307116;14.72;57.08;1.924;1.924;16.7;17.5;0.841;0.691;0.238;0.1;339.3;0.0;100.43;101.26;289.2;302.5;0.00619;0.01331
424;11;4.44;21.85;69.21;0.03;0.04;0.06;1.05;5.0;2.0;2.4;1.3648235897417043;4.747518382352942;7.306158088235294;3.1;15.82;167.0;0.26;0.36;5.07;29.36;5.0;2.0;69.0;3.397460708166665;38.92056776556776;45.70531135531135;78.6;66.61;4776.0;16.37;13.89;7.1;3.73;5.0;2.0;38.9;1.2938656402811686;46.40532967032968;94.39452380952382;42.8;51.14;63.92;73.67;79.7;91.9;2695.0;12.6;11.7;0.1;0.1;5.0;2.0;12.6;1.587896299501851;6.078492509363296;9.03756554307116;14.8;56.49;1.924;1.924;16.7;17.5;0.791;0.653;0.228;0.097;326.0;0.0;100.43;101.26;289.2;302.5;0.00619;0.01331
425;16;11.05;38.67;108.53;0.1;0.1;0.1;0.1;3.0;3.0;0.3;1.3648235897417043;0.2;0.4;0.4;2.0;30.0;0.0;0.1;1.6;13.0;3.0;3.0;15.1;3.397460708166665;14.6;15.5;16.3;13.8;1719.0;28.1;21.2;11.1;6.1;3.0;3.0;37.6;1.2938656402811686;36.5;38.3;39.8;33.9;42.4;47.2;52.2;59.0;4125.0;3.4;2.8;2.4;2.5;3.0;3.0;3.8;1.587896299501851;1.7;5.7;4.1;17.7;1.9;1.9;16.4;18.1;0.79;0.65;0.23;0.08;299.0;0.0;99.22;101.35;259.5;282.0;0.00081;0.00317
426;22;12.0030002593994;34.0245238467872;130.087629553845;0.07123982683425882;0.06830450954918574;0.058175092845019094;0.4196006554355236;4.0;1.0;0.49817999390338974;1.3648235897417043;4.747518382352942;7.306158088235294;0.7672570366600797;3.9145767176534676;64.80705449804114;0.24541953511887726;0.3098168034455817;4.065989955059592;23.455748867547953;4.0;1.0;24.57003256319128;3.397460708166665;38.92056776556776;45.70531135531135;30.15838046298181;25.557949544899838;3196.257294206347;23.364167001549504;18.606384182159672;10.687742128669925;5.375936765216466;4.0;1.0;30.563872772896943;1.2938656402811686;46.40532967032968;94.39452380952382;35.4281590041694;32.78895997736433;40.98619997170541;47.20667362605684;52.870709588619725;60.90551660876331;3975.9817590114812;7.746948141755382;5.615544783053835;0.26839024330507877;0.732584095538815;4.0;1.0;7.746948141755382;1.587896299501851;6.078492509363296;9.03756554307116;9.971615576979511;45.275151677998;1.91;1.93;16.3;16.8;0.88;0.73;0.2545;0.0795;318.42;0.0;101.486;102.22;279.62;300.8;0.00358;0.01201
427;22;12.280546;31.6575311592319;120.435034028735;0.0698237777043848;0.06693068388572461;0.05819672575508861;0.45811724066138737;4.0;1.0;0.5702564415095259;1.3648235897417043;4.747518382352942;7.306158088235294;0.8782634244717787;4.480935839141728;68.6788539383053;0.2684275376433618;0.3621315504291722;4.885424784074587;24.52629114694696;4.0;1.0;28.014669434942114;3.397460708166665;38.92056776556776;45.70531135531135;34.38648512942447;29.141089092732603;3373.9476667010267;20.814346952465712;16.953530019134632;10.593098563076637;5.202977426430152;4.0;1.0;28.545577215392637;1.2938656402811686;46.40532967032968;94.39452380952382;33.08864867902241;32.02693579860431;40.03366974825539;47.057696584496675;53.13306393787754;61.92310300270597;3437.887563305705;6.794761586925681;4.546700787124188;0.2738697421850712;0.7530185265678362;4.0;1.0;6.794761586925681;1.587896299501851;6.078492509363296;9.03756554307116;8.745992517602884;38.88025477319961;1.91;1.93;16.3;16.8;0.8;0.67;0.232;0.08;302.52;0.0;101.486;102.22;279.62;300.8;0.00358;0.01201
428;22;12.280546;31.6575311592319;120.435034028735;0.0698237777043848;0.06693068388572461;0.05819672575508861;0.45811724066138737;4.0;1.0;0.5702564415095259;1.3648235897417043;4.747518382352942;7.306158088235294;0.8782634244717787;4.480935839141728;68.6788539383053;0.2684275376433618;0.3621315504291722;4.885424784074587;24.52629114694696;4.0;1.0;28.014669434942114;3.397460708166665;38.92056776556776;45.70531135531135;34.38648512942447;29.141089092732603;3373.9476667010267;20.814346952465712;16.953530019134632;10.593098563076637;5.202977426430152;4.0;1.0;28.545577215392637;1.2938656402811686;46.40532967032968;94.39452380952382;33.08864867902241;32.02693579860431;40.03366974825539;47.057696584496675;53.13306393787754;61.92310300270597;3437.887563305705;6.794761586925681;4.546700787124188;0.2738697421850712;0.7530185265678362;4.0;1.0;6.794761586925681;1.587896299501851;6.078492509363296;9.03756554307116;8.745992517602884;38.88025477319961;1.91;1.93;16.3;16.8;0.8;0.67;0.232;0.08;302.52;0.0;101.486;102.22;279.62;300.8;0.00358;0.01201
429;22;12.280546;31.6575311592319;120.435034028735;0.0698237777043848;0.06693068388572461;0.05819672575508861;0.45811724066138737;4.0;1.0;0.5702564415095259;1.3648235897417043;4.747518382352942;7.306158088235294;0.8782634244717787;4.480935839141728;68.6788539383053;0.2684275376433618;0.3621315504291722;4.885424784074587;24.52629114694696;4.0;1.0;28.014669434942114;3.397460708166665;38.92056776556776;45.70531135531135;34.38648512942447;29.141089092732603;3373.9476667010267;20.814346952465712;16.953530019134632;10.593098563076637;5.202977426430152;4.0;1.0;28.545577215392637;1.2938656402811686;46.40532967032968;94.39452380952382;33.08864867902241;32.02693579860431;40.03366974825539;47.057696584496675;53.13306393787754;61.92310300270597;3437.887563305705;6.794761586925681;4.546700787124188;0.2738697421850712;0.7530185265678362;4.0;1.0;6.794761586925681;1.587896299501851;6.078492509363296;9.03756554307116;8.745992517602884;38.88025477319961;1.91;1.93;16.3;16.8;0.8;0.67;0.232;0.08;302.52;0.0;101.486;102.22;279.62;300.8;0.00358;0.01201
430;22;12.7211485;28.7766816426353;107.824385036253;0.06799236843003015;0.06540930477478199;0.06045546518032552;0.5102279694040561;4.0;1.0;0.6856645216812836;1.3648235897417043;4.747518382352942;7.306158088235294;1.05600573183626;5.387784346103366;73.93135539146084;0.320461702086412;0.4365638554509701;5.9396150014252385;25.907242270336013;4.0;1.0;33.1716471697486;3.397460708166665;38.92056776556776;45.70531135531135;40.71639520037879;34.50541966133796;3576.7124567177;18.206280669823173;15.392480818656622;10.421867095625203;5.00762109678908;4.0;1.0;27.008816084890004;1.2938656402811686;46.40532967032968;94.39452380952382;31.30730970776632;32.09249651005456;40.11562063756819;48.13347880504921;54.69713500573774;64.6877749469865;2912.2089849105196;5.262864709293268;3.131885242404845;0.29424622925608024;0.7803418852577668;4.0;1.0;5.262864709293268;1.587896299501851;6.078492509363296;9.03756554307116;6.774185492718841;29.215630433910455;1.91;1.93;16.3;16.8;0.71;0.6;0.21;0.08;284.22;0.0;101.486;102.22;279.62;300.8;0.00358;0.01201
431;22;12.7211485;28.7766816426353;107.824385036253;0.06799236843003015;0.06540930477478199;0.06045546518032552;0.5102279694040561;4.0;1.0;0.6856645216812836;1.3648235897417043;4.747518382352942;7.306158088235294;1.05600573183626;5.387784346103366;73.93135539146084;0.320461702086412;0.4365638554509701;5.9396150014252385;25.907242270336013;4.0;1.0;33.1716471697486;3.397460708166665;38.92056776556776;45.70531135531135;40.71639520037879;34.50541966133796;3576.7124567177;18.206280669823173;15.392480818656622;10.421867095625203;5.00762109678908;4.0;1.0;27.008816084890004;1.2938656402811686;46.40532967032968;94.39452380952382;31.30730970776632;32.09249651005456;40.11562063756819;48.13347880504921;54.69713500573774;64.6877749469865;2912.2089849105196;5.262864709293268;3.131885242404845;0.29424622925608024;0.7803418852577668;4.0;1.0;5.262864709293268;1.587896299501851;6.078492509363296;9.03756554307116;6.774185492718841;29.215630433910455;1.91;1.93;16.3;16.8;0.71;0.6;0.21;0.08;284.22;0.0;101.486;102.22;279.62;300.8;0.00358;0.01201
